iter	Passed	Remaining
0	940	939338
1	1651	824138
2	2313	768707
3	2963	737930
4	3592	714947
5	4256	705107
6	4919	697811
7	5546	687725
8	6180	680528
9	7569	749354
10	8882	798629
11	9991	822654
12	10666	809829
13	11308	796452
14	11941	784126
15	12606	775282
16	13229	764953
17	13877	757095
18	14524	749907
19	15180	743868
20	15829	737938
21	16472	732283
22	17127	727546
23	17783	723179
24	18449	719540
25	19170	718154
26	19849	715324
27	20536	712909
28	21201	709893
29	21891	707825
30	22583	705903
31	23270	703940
32	23969	702391
33	24682	701259
34	25393	700134
35	26112	699242
36	26808	697756
37	27506	696346
38	28206	695029
39	28905	693743
40	29638	693241
41	30356	692418
42	31048	691004
43	32002	695337
44	32766	695377
45	33476	694265
46	34201	693488
47	34936	692913
48	35656	692026
49	36379	691212
50	37143	691168
51	37894	690840
52	38637	690377
53	39391	690079
54	40115	689263
55	40857	688734
56	41609	688380
57	42364	688065
58	43087	687211
59	43835	686760
60	44584	686306
61	45317	685608
62	46051	684923
63	46795	684383
64	47536	683792
65	48264	683017
66	49027	682727
67	49776	682229
68	50516	681608
69	51250	680893
70	52043	680968
71	52806	680614
72	53666	681493
73	54544	682541
74	55324	682340
75	56122	682326
76	56913	682220
77	57750	682643
78	58554	682647
79	59360	682650
80	60160	682566
81	60965	682514
82	61810	682897
83	62680	683517
84	63502	683590
85	64328	683677
86	65100	683182
87	65840	682350
88	66786	683627
89	67543	682939
90	68322	682472
91	69093	681925
92	69855	681277
93	70621	680667
94	71412	680296
95	72151	679427
96	72979	679387
97	73728	678600
98	74510	678122
99	75295	677658
100	76064	677047
101	76810	676232
102	77574	675577
103	78329	674842
104	79075	674028
105	79825	673245
106	80571	672430
107	81352	671910
108	82097	671088
109	82918	670886
110	83692	670297
111	84456	669620
112	85253	669205
113	86019	668538
114	86784	667860
115	87552	667207
116	88301	666409
117	89048	665599
118	89815	664934
119	90577	664232
120	91384	663861
121	92143	663133
122	92908	662443
123	93730	662163
124	94523	661661
125	95280	660916
126	96040	660184
127	96816	659562
128	97591	658928
129	98370	658322
130	99155	657754
131	100144	658523
132	100925	657912
133	101678	657118
134	102438	656362
135	103225	655786
136	104022	655266
137	104831	654819
138	105605	654143
139	106398	653590
140	107156	652820
141	107916	652059
142	108676	651297
143	109503	650939
144	110284	650298
145	111039	649507
146	111833	648938
147	112616	648303
148	113389	647614
149	114162	646920
150	114941	646258
151	115706	645518
152	116481	644837
153	117249	644113
154	118015	643374
155	118775	642607
156	119612	642252
157	120442	641849
158	121232	641235
159	122032	640669
160	122813	640002
161	123571	639217
162	124362	638597
163	125155	637987
164	125948	637377
165	126709	636600
166	127467	635809
167	128247	635128
168	129023	634428
169	129786	633661
170	130590	633095
171	131359	632359
172	132151	631731
173	132927	631025
174	133918	631331
175	134747	630863
176	135518	630123
177	136279	629334
178	137077	628717
179	137840	627938
180	138601	627154
181	139375	626424
182	140176	625816
183	140974	625193
184	141745	624445
185	142547	623835
186	143338	623179
187	144130	622520
188	144940	621940
189	145746	621340
190	146509	620555
191	147289	619844
192	148050	619049
193	148832	618343
194	149600	617582
195	150364	616801
196	151143	616081
197	151975	615576
198	152757	614868
199	153525	614102
